body,entityname,userid,username,createdAt,entityName,address,city,country,state
🔭,Yellowstone National Park,105541935333594264230,usha shree,2019-08-18 14:37:29.52+00,Yellowstone National Park,Yellowstone National Park,Yellowstone National Park,United States,Wyoming
🧀,Jimmy John's,100162404055730,Opico Alpaca,2017-10-20 20:38:24.228+00,Jimmy John's,601 East Green Street, Champaign,Champaign,United States,Illinois
🌞,Kyusu Burmese Cuisine,10155351902975735,Ruta Lele,2018-03-26 22:50:04.185+00,Kyusu Burmese Cuisine,1312 Saratoga Ave, San Jose,San Jose,United States,CA
🙃,LOV Restaurant,1659104244102907,Dayana Edat,2018-07-08 02:17:32.819+00,LOV Restaurant,464 Rue McGill, Montréal,Montréal,Canada,Québec
🛎,Intelligentsia Coffee - Highline Hotel,105856798281199967470,Sujay Khandekar,2018-07-12 22:05:38.369+00,Intelligentsia Coffee - Highline Hotel,180 10th Avenue, New York,New YorkUnited States,New York
🗣,Palais des Congrès in Montreal,G6IHtNJtkUUnbSwBWSfsUZbCLmA2,Michael Nebeling,2018-04-23 04:42:22.955+00,Palais des Congrès in Montreal,1001 Jean Paul Riopelle Pl, Montreal, QC H2Z 1H5 Place Jean-Paul-Riopelle, Montréal,Montréal,Canada,Québec
🙏,Ceres Cafe,10109481874429450,Tyler Koby,2018-04-13 23:12:22.576+00,Ceres Cafe,141 West Jackson Boulevard, Chicago,Chicago,United States,IL
🍔,Legends,1519806824731644,Nishant Maniam,2017-12-06 17:53:49.092+00,Legends,522 East Green Street, Champaign,Champaign,United States,Illinois
🌾,Cyclismo Cafe,10155200088205955,Ranjitha Kumar,2019-03-20 01:36:42.196+00,Cyclismo Cafe,871 Middlefield Road, Redwood City,Redwood City,United States,California
🙂,Illini Union,rUajRYY99ddR5GFKMkWOdw7LAKD3,Vivek Bhookya,2019-04-25 22:22:22.033+00,Illini Union,1401 West Green Street, Urbana,Urbana,United States,Illinois
😊,Seattle-Tacoma International Airport,849156475252964,Alyssa Chen,2018-05-12 22:29:46.662+00,Seattle-Tacoma International Airport,17801 International Boulevard, Seattle,SeaTac,United States,Washington
🥔,Raclette Factory,105856798281199967470,Sujay Khandekar,2018-08-08 08:14:29.456+00,Raclette Factory,Rindermarkt 1, Zürich,ZürichSwitzerland,Zürich
🦈,Hanauma Bay Nature Preserve,1529368180503424,Kabir Manghnani,2018-03-21 21:23:10.042+00,Hanauma Bay Nature Preserve,Hawaii Kai, Honolulu,Honolulu,United States,Hawaii
🖌,Blick Art Materials,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-09-10 04:48:07.797+00,Blick Art Materials,1600 Broadway, Seattle,Seattle,United States,Washington
🍞,Merry Ann's Diner (on Campus),1650050305046950,Ethan Hartowicz,2017-11-01 07:15:24.224+00,Merry Ann's Diner (on Campus),701 South Gregory Street c, Urbana,Urbana,United States,Illinois
🤞,Suzzallo and Allen Libraries,rsz45h7FGneakMuNMiLFRbf7Wkm1,Yoojung Kim,2018-11-14 21:29:37.456+00,Suzzallo and Allen Libraries,4000 15th Avenue Northeast, Seattle,Seattle,United States,Washington
🦆,Boston Common,10155200088205955,Ranjitha Kumar,2018-06-23 01:49:56.371+00,Boston Common,139 Tremont St, Boston,Boston,United States,Massachusetts
😣,Berlin Tegel Airport,106173579224565293482,Kala Shivaramaiah,2018-10-13 21:14:47.908+00,Berlin Tegel Airport,Zufahrt zum Flughafen Tegel, Berlin,BerlinGermany,Berlin
🌃,Pinky G's Pizzeria,10155200088205955,Ranjitha Kumar,2019-08-14 06:15:05.643+00,Pinky G's Pizzeria,50 West Broadway, Jackson,Jackson,United States,Wyoming
🧡,Bengaluru,NtZXW98azidraKCZ5W1kK0qnjgq2,Nithila Anbumurali,2018-05-18 12:27:47.729+00,Bengaluru,Karnataka, India,Bengaluru,India,Karnataka
🛫,Zurich Airport,105856798281199967470,Sujay Khandekar,2018-08-09 04:08:04.696+00,Zurich Airport,Zürich-Flughafen,Kloten,Switzerland,Zürich
🏰,Hofburg Palace,10155200088205955,Ranjitha Kumar,2018-06-05 10:32:14.289+00,Hofburg Palace,Michaelerkuppel, Wien,WienAustria,Wien
🍫,Michalak,106173579224565293482,Kala Shivaramaiah,2018-10-20 17:48:22.219+00,Michalak,16 Rue de la Verrerie, Paris,Paris,France,Île-de-France
🥓,Meijer,10212391291791338,Jinda Han,2018-12-23 19:23:42.392+00,Meijer,2401 North Prospect Avenue, Champaign,Champaign,United States,Illinois
🐬,Coastal Flats,1747013638673296,Jacqueline Talton,2017-12-07 20:05:52.603+00,Coastal Flats,11901 Grand Commons Avenue, Fairfax,Fairfax,United States,Virginia
🤩,Del Seoul,113065170374561083115,Isabella Maki,2018-04-07 15:39:23.341+00,Del Seoul,2568 N Clark St, Chicago,Chicago,United States,IL
📝,Altgeld Hall,904147553087729,Charis Ryu,2018-09-20 20:30:07.465+00,Altgeld Hall,United States,Champaign,United States,Illinois
👬,Murphy's Pub,10155963998008817,Deniz Arsan,2018-03-23 01:05:32.603+00,Murphy's Pub,604 East Green Street, Champaign,Champaign,United States,Illinois
👍,Sakanaya Restaurant,1714015838657450,Devashri Nagarkar,2017-12-16 20:08:46.119+00,Sakanaya Restaurant,403 East Green Street, Champaign,Champaign,United States,Illinois
😍,RPM Steak,1660353924016921,Olivia Gatti,2018-03-31 04:09:01.271+00,RPM Steak,66 West Kinzie Street, Chicago,Chicago,United States,IL
🥛,Starbucks,904147553087729,Charis Ryu,2018-04-08 20:28:04.126+00,Starbucks,503 East Green Street, Champaign,Champaign,United States,Illinois
💨,Amazon Go,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-07-28 03:53:21.807+00,Amazon Go,2131 7th Ave, Seattle,Seattle,United States,Washington
🎂,Fairfax,108032751776815363988,Jerry Talton,2018-11-25 08:34:48.462+00,Fairfax,Fairfax,Fairfax,United States,Virginia
🥐,Ladurée Paris Champs Elysées,1660353924016921,Olivia Gatti,2018-02-21 02:54:09.628+00,Ladurée Paris Champs Elysées,75 Av. des Champs-Élysées, Paris,Paris-8E-Arrondissement,France,Île-de-France
🌙,MATTATOIO,1329892213741432,Mpekris Mezes,2017-12-05 20:07:37.86+00,MATTATOIO,Antigonis, Kos,Greece,
😫,Merry Ann's Diner (Downtown),2063200643966298,Dan Ralnad,2017-11-12 16:42:34.544+00,Merry Ann's Diner (Downtown),1 East Main Street, Champaign,Champaign,United States,Illinois
🍔,The Aberdeen Tap,878293195646842,Joe Higgs,2017-08-31 04:55:47.257+00,The Aberdeen Tap,440 North Aberdeen Street, Chicago,Chicago,United States,Illinois
😋,sweetgreen,sPP9kEWqQvYjMr7uSmo5vTNOBEB3,Avery Borens,2018-05-29 23:57:29.517+00,sweetgreen,11935 Democracy Drive, Reston,Reston,United States,Virginia
😍,The River Café,116725256393663429955,Menaka Sampath,2018-02-07 12:35:57.386+00,The River Café,1 Water Street, Brooklyn,,United States,New York
🍻,Perry's SFO,10103829476201045,Maribel S Mullins,2017-12-20 20:18:16.769+00,Perry's SFO,Terminal 1, S McDonnell Rd, San Francisco,San Francisco,United States,California
🥪,O.G. Variar and Sons Bakery,1425689854196183,Sunaya Kumar,2018-05-21 09:59:15.333+00,O.G. Variar and Sons Bakery,68, 12th Main Rd, Near RTO, 2nd Block, Rajaji Nagar, Bengaluru,Bengaluru,India,Karnataka
👵,Oros Thai Restaurant,105856798281199967470,Sujay Khandekar,2018-11-11 22:45:48.286+00,Oros Thai Restaurant,6177 Santa Teresa Boulevard, San Jose,San Jose,United States,California
🥄,Crate and Barrel,157924978075040,Kala Shivaramaiah,2017-11-27 06:53:09.736+00,Crate and Barrel,530 Stanford Shopping Center, Palo Alto,Palo Alto,United States,California
🍍,Rose Cafe,106173579224565293482,Kala Shivaramaiah,2018-08-02 21:35:02.526+00,Rose Cafe,220 Rose Avenue, Venice,Los Angeles,United States,California
😍,August,1660353924016921,Olivia Gatti,2018-02-28 06:27:41.782+00,August,301 Tchoupitoulas St, New Orleans,New Orleans,United States,Louisiana
😁,Thomas M. Siebel Center for Computer Science,1852286158135171,April Schermann,2018-04-07 14:25:13.475+00,Thomas M. Siebel Center for Computer Science,201 North Goodwin Avenue, Urbana,Urbana,United States,Illinois
🙂,Pastis,10154316354961881,Maxine Lim,2018-06-05 21:27:25.748+00,Pastis,447 California Avenue, Palo Alto,Palo Alto,United States,California
💨,Oakton,Cz40Cl5zsCQHZq7gdifwBQ01r4s1,Ryan Gaffney,2018-05-26 01:21:09.553+00,Oakton,Providence,Oakton,United States,Virginia
🤢,Kyoto Century Hotel,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2019-01-30 00:19:46.779+00,Kyoto Century Hotel,680 Higashishiokojicho, Shimogyo Ward, Kyoto,Kyoto,Japan,Kyoto Prefecture
🍜,Koku,105856798281199967470,Sujay Khandekar,2018-07-14 01:25:20.335+00,Koku,2 West 32nd Street, New York,New YorkUnited States,New York
🤗,Texas de Brazil,Ore5wuGho6eoXwYVwR1INWWsLi13,2Y Y,2018-05-28 10:10:22.449+00,Texas de Brazil,205 Sapyeong-daero, Banpo 4(sa)-dong, Seocho-gu,Seoul,South Korea,
🤩,Regal Cinemas Meridian 16,rsz45h7FGneakMuNMiLFRbf7Wkm1,Yoojung Kim,2018-04-29 19:53:17.662+00,Regal Cinemas Meridian 16,1501 7th Ave, Seattle,Seattle,United States,Washington
😀,MOMOYA,115361705896308,Jerry Talton,2017-11-14 23:40:41.539+00,MOMOYA,185 7th Avenue, New York,New YorkUnited States,New York
🍫,San Francisco International Airport,106173579224565293482,Kala Shivaramaiah,2018-06-24 00:42:13.958+00,San Francisco International Airport,San Francisco,San Francisco,United States,California
🍳,Radio Maria,1660353924016921,Olivia Gatti,2018-02-18 22:05:47.852+00,Radio Maria,119 North Walnut Street, Champaign,Champaign,United States,Illinois
💻,Starbucks,4fSiQkmyzzSrHMcu6b221awqU6j1,Yasemin Cicek,2018-10-08 20:14:57.724+00,Starbucks,503 East Green Street, Champaign,Champaign,United States,Illinois
🍧,Jarling's Custard Cup,10212391291791338,Jinda Han,2017-12-04 09:54:04.914+00,Jarling's Custard Cup,309 West Kirby Avenue, Champaign,Champaign,United States,Illinois
🌯,Chipotle Mexican Grill,878293195646842,Joe Higgs,2017-11-01 02:34:01.886+00,Chipotle Mexican Grill,525 West Monroe Street L1A, Chicago,Chicago,United States,Illinois
🥓,Meat & Egg Sales Room,110478412661569610356,cynthia coleman,2018-08-21 18:07:45.252+00,Meat & Egg Sales Room,1503 South Maryland Drive, Urbana,Urbana,United States,Illinois
🏡,Norman Y. Mineta San Jose International Airport,10212391291791338,Jinda Han,2018-06-18 01:00:39.065+00,Norman Y. Mineta San Jose International Airport,1701 Airport Blvd, San Jose,San Jose,United States,California
🐅,BB&T Center,108473739188452905120,Jeffrey Higgs,2018-02-23 00:25:48.941+00,BB&T Center,1 Panther Pkwy, Sunrise,Sunrise,United States,Florida
🍕,Papa Del's,108032751776815363988,Jerry Talton,2017-10-28 05:46:44.697+00,Papa Del's,1201 South Neil Street, Champaign,Champaign,United States,Illinois
🙌,Samsara,105856798281199967470,Sujay Khandekar,2018-11-14 04:04:46.619+00,Samsara,444 De Haro Street #101, San Francisco,San Francisco,United States,California
🥂,Drury Lane Theatre,oCO1XnwTPub9pAXnMwOpAwQq65m1,Aayushi Gupta,2019-06-16 00:49:42.317+00,Drury Lane Theatre,100 Drury Lane, Oakbrook Terrace,Oakbrook Terrace,United States,Illinois
🥠,Cravings,161575927917434,Janessa Wildermuth,2017-12-08 18:45:55.669+00,Cravings,603 South Wright Street, Champaign,Champaign,United States,Illinois
📝,Berins Cafe,10155963998008817,Deniz Arsan,2019-03-29 09:09:08.632+00,Berins Cafe,Prof. Dr. Ahmet Taner Kışlalı Mah., 2987. Sok. Sarnıç Park AVM D:6, Çankaya,,Turkey,Ankara
🍆,Saratoga Farmers' Market at West Valley College,157924978075040,Kala Shivaramaiah,2017-11-20 06:45:07.547+00,Saratoga Farmers' Market at West Valley College,14000 Fruitvale Avenue, Saratoga,Saratoga,United States,California
👍,Vasa Museum,1726108570780522,Shivali Patel,2018-04-02 13:15:05.946+00,Vasa Museum,Galärvarvsvägen 14, Stockholm,Stockholm,Sweden,Stockholms län
🔄,Saratoga,105856798281199967470,Sujay Khandekar,2018-12-26 19:56:10.484+00,Saratoga,Saratoga,Saratoga,United States,California
😋,Duomo Gelatieri dal 1952,105856798281199967470,Sujay Khandekar,2018-08-06 11:22:12.013+00,Duomo Gelatieri dal 1952,Piazza Cincinnato, 1, Milano,Milano,Italy,Lombardia
👀,Intelligentsia Coffee Venice Coffeebar,106173579224565293482,Kala Shivaramaiah,2018-08-01 16:55:01.705+00,Intelligentsia Coffee Venice Coffeebar,1331 Abbot Kinney Blvd, Venice,Los Angeles,United States,California
🤤,Roka,105856798281199967470,Sujay Khandekar,2019-06-10 18:05:39.917+00,Roka,m.Mpotsari 6, Οία,Oía,Greece,
🍦,Paris super crepe,dpptQWQ6HYNQ4aL3hKXw32f1naf1,Wenjie Zhu,2018-05-14 13:45:59.779+00,Paris super crepe,601 South 6th Street suite 106, Champaign,Champaign,United States,Illinois
👎,Star Karaoke,10212391291791338,Jinda Han,2018-02-05 22:18:53.411+00,Star Karaoke,1503 Lyndhurst Alley, Savoy,Savoy,United States,Illinois
💣,Seven Saints,1586942511398249,Habib Ben,2018-01-25 01:49:49.635+00,Seven Saints,32 East Chester Street, Champaign,Champaign,United States,Illinois
😋,Noodles and Company,1388454751264948,Pavitra Brahmbhatt,2017-12-11 03:36:37.572+00,Noodles and Company,528 East Green Street, Champaign,Champaign,United States,Illinois
🥃,Hardwood Bar & Smokery,105856798281199967470,Sujay Khandekar,2019-06-20 05:06:20.446+00,Hardwood Bar & Smokery,680 8th Street Ste. 170, San Francisco,San Francisco,United States,California
🏙,Norman Y. Mineta San Jose International Airport,10215323205660534,Austin Sun,2018-05-26 03:52:32.662+00,Norman Y. Mineta San Jose International Airport,1701 Airport Blvd, San Jose,San Jose,United States,California
🎬,Saap Ver Thai Cuisine,105856798281199967470,Sujay Khandekar,2018-06-29 03:57:42.219+00,Saap Ver Thai Cuisine,88 Division Street, San Francisco,San Francisco,United States,California
🍔,3 BREWERS ST-DENIS,IJ0ppMi7HtNFuc7Ar4E8aog2urq2,Mireille Bergeron,2018-04-24 23:32:14.566+00,3 BREWERS ST-DENIS,1658 Rue Saint-Denis, Montréal,Montréal,Canada,Québec
🐮,Chef Hung Taiwanese Beef Noodle,10212391291791338,Jinda Han,2018-05-31 04:04:57.937+00,Chef Hung Taiwanese Beef Noodle,19369 Stevens Creek Boulevard #100, Cupertino,Cupertino,United States,California
🥟,Matt’s Stock Island Kitchen & Bar,10212391291791338,Jinda Han,2018-12-27 13:26:33.97+00,Matt’s Stock Island Kitchen & Bar,7001 Shrimp Road Suite 200, Key West,Stock Island,United States,Florida
👎,Strikers Family Sportscenter,705675966309216,Sven Haugen,2017-11-22 03:07:27.299+00,Strikers Family Sportscenter,8500 Northwest 44th Street, Sunrise,Lauderhill,United States,Florida
🎉,Honolulu,1529368180503424,Kabir Manghnani,2018-03-17 19:09:27.079+00,Honolulu,Hawaii, USA,Honolulu,United States,Hawaii
😎,Sheriff Court Building,10155200088205955,Ranjitha Kumar,2019-03-09 20:20:05.375+00,Sheriff Court Building,,,United Kingdom,Scotland
🐕,Nagarabhavi Village,105541935333594264230,usha shree,2019-02-15 17:08:58.823+00,Nagarabhavi Village,VKRV Rao Road, Teachers Colony, Chandra Layout Extension, Bengaluru,Bengaluru,India,Karnataka
🐞,Maison Alyzée,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-12-22 19:17:32.688+00,Maison Alyzée,212 Castro Street, Mountain View,Mountain View,United States,California
🔥,Zareen's Restaurant,10203814544039457,James Childress,2017-11-11 07:42:33.191+00,Zareen's Restaurant,365 California Avenue, Palo Alto,Palo Alto,United States,California
🐷,Black Dog Smoke & Ale House,103629337075362,Hubert Gao,2017-12-08 03:39:04.591+00,Black Dog Smoke & Ale House,320 North Chestnut Street, Champaign,Champaign,United States,Illinois
🌶,Zeughauskeller,105856798281199967470,Sujay Khandekar,2018-08-08 08:16:45.402+00,Zeughauskeller,Bahnhofstrasse 28A, Zürich,ZürichSwitzerland,Zürich
🎶,Murphy's Pub,1748667878486854,Ingrid Pan,2018-03-15 02:17:42.066+00,Murphy's Pub,604 East Green Street, Champaign,Champaign,United States,Illinois
🍨,Chitradurga Fort,MMbM4HMgQRdbhu8AHkg7R8GpXcJ2,Shruthi S,2018-06-15 05:39:32.584+00,Chitradurga Fort,Chitradurga,Chitradurga,India,Karnataka
🍵,Floriole Cafe & Bakery,10155200088205955,Ranjitha Kumar,2018-04-07 22:33:32.321+00,Floriole Cafe & Bakery,1220 W Webster Ave, Chicago,Chicago,United States,IL
🤤,Pekara Bakery & Bistro,115361705896308,Jerry Talton,2017-10-28 16:02:00.357+00,Pekara Bakery & Bistro,116 North Neil Street, Champaign,Champaign,United States,Illinois
🍜,MOMOYA,115361705896308,Jerry Talton,2017-11-14 23:40:41.539+00,MOMOYA,185 7th Avenue, New York,New YorkUnited States,New York
🥃,Floret - By Cafe Flora,106173579224565293482,Kala Shivaramaiah,2018-11-30 04:07:54.656+00,Floret - By Cafe Flora,17801 International Boulevard, SeaTac,SeaTac,United States,Washington
👍,Geer Street Garden,kv9IQKV03WXi6VW6igCTeXNeZPD3,sayonara sayonara,2018-08-23 01:11:23.151+00,Geer Street Garden,644 Foster Street, Durham,Durham,United States,North Carolina
🏢,University of Southern California,904147553087729,Charis Ryu,2018-11-23 08:31:19.154+00,University of Southern California,Los Angeles,Los Angeles,United States,California
😎,Postino Annex,10213860837890673,Gloria Lee,2017-12-12 17:56:41.691+00,Postino Annex,615 South College Avenue, Tempe,Tempe,United States,Arizona
🍑,General Porpoise,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2018-07-04 00:56:27.618+00,General Porpoise,2101 7th Ave, Seattle,Seattle,United States,Washington
🍰,Pekara Bakery & Bistro,100162404055730,Opico Alpaca,2017-10-23 18:24:54.641+00,Pekara Bakery & Bistro,116 North Neil Street, Champaign,Champaign,United States,Illinois
📉,Mister Sushi,1647801008617579,Oliver Melvin,2018-03-16 14:18:50.721+00,Mister Sushi,1535 Garnet Ave, San Diego,San Diego,United States,California
😬,Oakton High School,8KN49jbC6rannhQufm15cCwsxZf2,Catherine Hiu,2018-05-23 17:28:27.131+00,Oakton High School,2900 Sutton Rd, Vienna,Vienna,United States,Virginia
🚮,Dunkin' Donuts,878293195646842,Joe Higgs,2017-09-01 04:33:45.41+00,Dunkin' Donuts,607 East Green Street, Champaign,Champaign,United States,Illinois
🍺,Over The Bar Bicycle Cafe,imKur6dQMxYb8x5zU0gyJcoLIkw1,Jeffrey Bigham,2019-03-31 23:21:05.672+00,Over The Bar Bicycle Cafe,2518 East Carson Street, Pittsburgh,Pittsburgh,United States,Pennsylvania
👗,Armstrong Building,10155200088205955,Ranjitha Kumar,2018-04-27 14:34:08.779+00,Armstrong Building,McGill University, 3420 Rue McTavish, Montréal,Montréal,Canada,Québec
🙌,Polite Society Restaurant and Bar,10210457306100125,Kagan Allen,2018-04-25 22:49:08.294+00,Polite Society Restaurant and Bar,1923 Park Ave, St. Louis,St. Louis,United States,Missouri
👦,Bewley's Grafton Street,105856798281199967470,Sujay Khandekar,2018-06-01 10:47:18.659+00,Bewley's Grafton Street,78- 79 Grafton Street, Dublin 2,Dublin,Ireland,County Dublin
😋,HOME, Soquel,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-06-27 08:11:30.264+00,HOME, Soquel,3101 N Main St, Soquel,Soquel,United States,California
🍜,Sushi 88 & Ramen,10103829476201045,Maribel S Mullins,2017-11-27 02:38:44.617+00,Sushi 88 & Ramen,506 Showers Drive, Mountain View,Mountain View,United States,California
🙄,Ozumo Santana Row,10155351902975735,Ruta Lele,2018-07-06 01:55:51.175+00,Ozumo Santana Row,#1010, 355 Santana Row, San Jose,San Jose,United States,California
🥞,Merry Ann's Diner (on Campus),100162404055730,Opico Alpaca,2017-11-09 03:15:48.753+00,Merry Ann's Diner (on Campus),701 South Gregory Street c, Urbana,Urbana,United States,Illinois
🥕,Clever Rabbit,10160009362260456,Christopher Miller,2018-04-15 03:55:11.428+00,Clever Rabbit,2015 W Division St, Chicago,Chicago,United States,IL
🕺,Panda Express,7cReuTsgwEbo57OQFZA1OoQcMgi2,Tianli Ding,2019-09-01 03:08:24.29+00,Panda Express,627 South Wright Street, Champaign,Champaign,United States,Illinois
🐴,Monterey Bay Aquarium,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2018-09-02 01:01:52.166+00,Monterey Bay Aquarium,886 Cannery Row, Monterey,Monterey,United States,California
🍕,Chapter,IVxTrnRwMxWyhshYhy7iKvbdYmm2,Sunaya Shivakumar,2019-05-27 00:21:07.053+00,Chapter,11-12 Burgate, Canterbury,,United Kingdom,England
😩,Papa Zouk,10155200088205955,Ranjitha Kumar,2019-01-16 00:14:12.454+00,Papa Zouk,Hilda Davis Drive, Dickenson Bay Street, Saint John's,
🍪,Einstein Brothers Bagels,1640736822650363,Hyojin Gina Do,2018-02-08 03:03:45.422+00,Einstein Brothers Bagels,West Stoughton Street, Urbana,Urbana,United States,Illinois
🏡,Singrauli,yfQw5nZ5WtbGjXSR4TuXjykfmal1,Ankit Kumar,2018-07-22 03:31:55.428+00,Singrauli,Singrauli, Madhya Pradesh, India,Singrauli,India,Madhya Pradesh
🥃,Chicago Athletic Association,1660353924016921,Olivia Gatti,2018-05-15 17:40:12.175+00,Chicago Athletic Association,12 S Michigan Ave, Chicago,Chicago,United States,Illinois
🍗,Gen Korean BBQ House,10212391291791338,Jinda Han,2018-05-19 18:04:11.433+00,Gen Korean BBQ House,4963, 1554 Saratoga Ave, San Jose,San Jose,United States,California
😅,Larsen's Fish Market,106173579224565293482,Kala Shivaramaiah,2018-08-27 15:06:35.73+00,Larsen's Fish Market,56 Basin Road, Chilmark,Chilmark,United States,Massachusetts
😵,Ole Smoky Moonshine,1970440316501428,Pooja Welling,2018-03-20 02:20:44.228+00,Ole Smoky Moonshine,903 Parkway #128, Gatlinburg,Gatlinburg,United States,Tennessee
🍻,Emporium Arcade Bar,1659104244102907,Dayana Edat,2018-03-12 17:23:01.869+00,Emporium Arcade Bar,839 W Fulton Market, Chicago,Chicago,United States,Illinois
😓,McCarthy Honors College,1898612533778623,Lindsay Huang,2018-10-09 04:17:49.557+00,McCarthy Honors College,3096 S McClintock Ave, Los Angeles,Los Angeles,United States,California
🏖,Royal Farms,108032751776815363988,Jerry Talton,2018-02-17 18:25:37.576+00,Royal Farms,701 Coastal Highway, Fenwick Island,Fenwick Island,United States,Delaware
🍊,Safeway,10212391291791338,Jinda Han,2018-06-19 07:20:03.853+00,Safeway,5146 Stevens Creek Blvd, San Jose,San Jose,United States,California
🍞,Sweet Leaf Cafe,04i0fsCTmCeqAey5HlvaPwFkhPC3,Bella Panciocco,2018-05-28 21:07:22.122+00,Sweet Leaf Cafe,262 Maple Ave E, Vienna,Vienna,United States,Virginia
🐐,Billy Goat Tavern,10209215430457530,Julia Megan Sullivan,2018-12-10 04:12:00.656+00,Billy Goat Tavern,Lower, 430 North Michigan Avenue, Chicago,Chicago,United States,Illinois
🥔,The Capital Grille,149333212339665,Mary Barone,2018-02-20 01:34:44.638+00,The Capital Grille,2430 E Sunrise Blvd, Fort Lauderdale,Fort Lauderdale,United States,Florida
💵,Currency Exchange International,106173579224565293482,Kala Shivaramaiah,2018-10-08 05:08:43.838+00,Currency Exchange International,447 Great Mall Drive, Milpitas,Milpitas,United States,California
🍖,Kung Fu BBQ,904147553087729,Charis Ryu,2018-03-08 01:55:03.028+00,Kung Fu BBQ,510 East John Street, Champaign,Champaign,United States,Illinois
🤢,Evo Cafe,10212391291791338,Jinda Han,2017-12-04 09:56:30.049+00,Evo Cafe,711 S 6th St, Champaign,Champaign,United States,Illinois
🍾,MONOPRIX,106173579224565293482,Kala Shivaramaiah,2018-10-22 05:04:11.149+00,MONOPRIX,107 Rue la Boétie, Paris,Paris,France,Île-de-France
💇,Ritual Salon,1425689854196183,Sunaya Kumar,2018-05-11 20:22:19.017+00,Ritual Salon,804 East Main Street, Urbana,Urbana,United States,Illinois
🍺,Kam's,100162404055730,Opico Alpaca,2017-10-25 18:23:18.751+00,Kam's,618 East Daniel Street, Champaign,Champaign,United States,Illinois
🍴,BoBo China,100162404055730,Opico Alpaca,2018-02-01 07:15:22.515+00,BoBo China,404 East Green Street, Champaign,Champaign,United States,Illinois
🍽,West Loop,1659104244102907,Dayana Edat,2018-04-27 23:06:30.985+00,West Loop,Chicago,Chicago,United States,Illinois
🥘,기와집순두부 서초점,Ore5wuGho6eoXwYVwR1INWWsLi13,2Y Y,2018-05-11 15:43:37.388+00,기와집순두부 서초점,1699-13 Seocho 4(sa)-dong, Seocho-gu,SeoulSouth Korea,Seoul
🤤,The Original Pancake House,100162404055730,Opico Alpaca,2017-10-23 18:22:47.466+00,The Original Pancake House,1909 West Springfield Avenue # B, Champaign,Champaign,United States,Illinois
🍱,Azuma Japanese Cuisine II,105856798281199967470,Sujay Khandekar,2018-08-01 21:07:30.621+00,Azuma Japanese Cuisine II,664 Blossom Hill Road, San Jose,San Jose,United States,California
🍓,Blue Star Donuts,105856798281199967470,Sujay Khandekar,2018-07-29 19:40:44.626+00,Blue Star Donuts,1237 Southwest Washington Street, Portland,Portland,United States,Oregon
🌿,The Best Massage Spa - Massage in Puerto Vallarta,904147553087729,Charis Ryu,2019-03-18 21:19:50.901+00,The Best Massage Spa - Massage in Puerto Vallarta,48300, Morelos 877, Centro, Puerto Vallarta,Puerto Vallarta,Mexico,Jalisco
🍵,Teamoji,904147553087729,Charis Ryu,2018-03-07 03:15:37.011+00,Teamoji,617 East Green Street, Champaign,Champaign,United States,Illinois
😋,Basil Thai Cafe,1650050305046950,Ethan Hartowicz,2017-11-06 14:52:18.898+00,Basil Thai Cafe,410 East Green Street, Champaign,Champaign,United States,Illinois
😍,Gandhi,106173579224565293482,Kala Shivaramaiah,2018-04-26 22:56:51.628+00,Gandhi,230 Saint-Paul St W, Montreal,Montréal,Canada,Québec
🤑,Turbo Tacos,10160009362260456,Christopher Miller,2018-03-01 03:08:57.974+00,Turbo Tacos,2050 N Milwaukee Ave, Chicago,Chicago,United States,Illinois
🌇,Key West,ITWmeibCgYVvpimix1bjXx3cBbm2,Kate Zhao,2018-12-27 22:28:59.866+00,Key West,Key West,Key West,United States,Florida
🗼,Big Ben,106173579224565293482,Kala Shivaramaiah,2019-03-15 20:52:11.997+00,Big Ben,London,,United Kingdom,England
🖌,The Broad,10155351902975735,Ruta Lele,2018-07-29 20:15:49.01+00,The Broad,221 S Grand Ave, Los Angeles,Los Angeles,United States,California
👍,7 Flavors Restaurant,794492160751553,Wyndham Batchelor,2017-09-01 21:14:27.17+00,7 Flavors Restaurant,7815 West Sunrise Boulevard, Plantation,Plantation,United States,Florida
😍,Urbana's Market at the Square,10155200088205955,Ranjitha Kumar,2017-09-23 23:47:27.83+00,Urbana's Market at the Square,401 South Vine Street, Urbana,Urbana,United States,Illinois
🥳,Champaign,10155200088205955,Ranjitha Kumar,2019-04-08 17:51:44.033+00,Champaign,Champaign,Champaign,United States,Illinois
😋,The Purple Pig,XXnUVF4DL9ckCjh3acLaUOG33hH2,Anooshka Barua,2018-09-01 17:51:04.291+00,The Purple Pig,500 North Michigan Avenue, Chicago,Chicago,United States,Illinois
