body,entityname,userid,username,createdAt,entityName,address,city,country,state
👍,Islander Bar and Grill,10155200088205955,Ranjitha Kumar,2018-03-22 12:27:23.344+00,Islander Bar and Grill,Miami International Airport, Miami,Miami,United States,Florida
🐔,Jane on Larkin,10155200088205955,Ranjitha Kumar,2018-08-08 05:42:17.036+00,Jane on Larkin,925 Larkin St, San Francisco,San Francisco,United States,California
🧀,Miga,10155200088205955,Ranjitha Kumar,2019-01-29 06:43:26.376+00,Miga,M2 on Neil Street, 301 North Neil Street #104, Champaign,Champaign,United States,Illinois
🗿,Notre Dame,106173579224565293482,Kala Shivaramaiah,2018-10-21 11:52:47.152+00,Notre Dame,Paris,Paris,France,Île-de-France
🤪,West Town,10159158025280648,Martin David,2018-04-17 02:34:04.6+00,West Town,Chicago,Chicago,United States,IL
📊,Google Building TC6,10155963998008817,Deniz Arsan,2019-06-03 20:49:33.232+00,Google Building TC6,Sunnyvale,Sunnyvale,United States,California
🌶,Farmhouse Kitchen Thai Cuisine,105856798281199967470,Sujay Khandekar,2018-09-06 22:52:44.475+00,Farmhouse Kitchen Thai Cuisine,710 Florida Street, San Francisco,San Francisco,United States,California
🥃,The Boss Bar,XXnUVF4DL9ckCjh3acLaUOG33hH2,Anooshka Barua,2018-09-01 20:18:34.483+00,The Boss Bar,420 North Clark Street, Chicago,Chicago,United States,Illinois
👌,Howie's Artisan Pizza,Ybwj1wTN0rVKBHTbr4YbiK0JMyc2,Sampath Kumar,2019-05-03 20:21:54.004+00,Howie's Artisan Pizza,855 El Camino Real #60, Palo Alto,Palo Alto,United States,California
😮,Jackson Hole Airport,10155200088205955,Ranjitha Kumar,2019-08-14 06:19:44.404+00,Jackson Hole Airport,1250 East Airport Road, Jackson,Jackson,United States,Wyoming
📏,Thursday Party,904147553087729,Charis Ryu,2018-05-21 10:55:22.749+00,Thursday Party,124-6 Itaewon 1(il)-dong, Yongsan-gu,Seoul,South Korea,
😋,La Maison du Magret,IM4bL0jkNuOmmkWrFSmni0flSRj1,laurianne sitbon,2018-04-25 01:58:51.59+00,La Maison du Magret,102 Rue Saint-Antoine Ouest, Montréal,Montréal,Canada,Québec
🛌,Courtyard by Marriott Miami West/FL Turnpike,10212391291791338,Jinda Han,2018-12-28 04:41:18.583+00,Courtyard by Marriott Miami West/FL Turnpike,11580 Northwest 105th Street, Miami,Miami,United States,Florida
🍟,Palais des Congrès in Montreal,MOKlAzhkRNSFYvM00Asn1T5LFdU2,Parisa Alirezaee,2018-04-24 00:22:07.922+00,Palais des Congrès in Montreal,1001 Jean Paul Riopelle Pl, Montreal, QC H2Z 1H5 Place Jean-Paul-Riopelle, Montréal,Montréal,Canada,Québec
😍,Tselogs,1671649076180873,Alex Carsello,2018-02-12 20:53:22.229+00,Tselogs,11b San Pedro Road, Daly City,Daly City,United States,California
👥,BrewLab Coffee,10212391291791338,Jinda Han,2018-10-11 18:24:52.121+00,BrewLab Coffee,5617, 630 South 5th Street, Champaign,Champaign,United States,Illinois
